"nm0000002","Lauren Bacall","1924","2014"
"nm0000005","Ingmar Bergman","1918","2007"
"nm0000032","Charlton Heston","1923","2008"
"nm0000056","Paul Newman","1925","2008"
"nm0000090","Armin Mueller-Stahl","1930",NULL
"nm0000092","John Cleese","1939",NULL
"nm0000093","Brad Pitt","1963",NULL
"nm0000095","Woody Allen","1935",NULL
"nm0000096","Gillian Anderson","1968",NULL
"nm0000098","Jennifer Aniston","1969",NULL
"nm0000099","Patricia Arquette","1968",NULL
"nm0000100","Rowan Atkinson","1955",NULL
"nm0000102","Kevin Bacon","1958",NULL
"nm0000104","Antonio Banderas","1960",NULL
"nm0000106","Drew Barrymore","1975",NULL
"nm0000107","Kim Basinger","1953",NULL
"nm0000108","Luc Besson","1959",NULL
"nm0000110","Kenneth Branagh","1960",NULL
"nm0000111","Matthew Broderick","1962",NULL
"nm0000112","Pierce Brosnan","1953",NULL
"nm0000113","Sandra Bullock","1964",NULL
"nm0000114","Steve Buscemi","1957",NULL
"nm0000115","Nicolas Cage","1964",NULL
"nm0000116","James Cameron","1954",NULL
"nm0000117","Neve Campbell","1973",NULL
"nm0000119","Tia Carrere","1967",NULL
"nm0000120","Jim Carrey","1962",NULL
"nm0000123","George Clooney","1961",NULL
"nm0000124","Jennifer Connelly","1970",NULL
"nm0000125","Sean Connery","1930",NULL
"nm0000126","Kevin Costner","1955",NULL
"nm0000128","Russell Crowe","1964",NULL
"nm0000129","Tom Cruise","1962",NULL
"nm0000130","Jamie Lee Curtis","1958",NULL
"nm0000131","John Cusack","1966",NULL
"nm0000132","Claire Danes","1979",NULL
"nm0000134","Robert De Niro","1943",NULL
"nm0000136","Johnny Depp","1963",NULL
"nm0000138","Leonardo DiCaprio","1974",NULL
"nm0000139","Cameron Diaz","1972",NULL
"nm0000140","Michael Douglas","1944",NULL
"nm0000142","Clint Eastwood","1930",NULL
"nm0000144","Cary Elwes","1962",NULL
"nm0000146","Ralph Fiennes","1962",NULL
"nm0000147","Colin Firth","1960",NULL
"nm0000148","Harrison Ford","1942",NULL
"nm0000149","Jodie Foster","1962",NULL
"nm0000151","Morgan Freeman","1937",NULL
"nm0000152","Richard Gere","1949",NULL
"nm0000154","Mel Gibson","1956",NULL
"nm0000157","Linda Hamilton","1956",NULL
"nm0000158","Tom Hanks","1956",NULL
"nm0000159","Teri Hatcher","1964",NULL
"nm0000160","Ethan Hawke","1970",NULL
"nm0000161","Salma Hayek","1966",NULL
"nm0000162","Anne Heche","1969",NULL
"nm0000163","Dustin Hoffman","1937",NULL
"nm0000164","Anthony Hopkins","1937",NULL
"nm0000165","Ron Howard","1954",NULL
"nm0000166","Helen Hunt","1963",NULL
"nm0000168","Samuel L. Jackson","1948",NULL
"nm0000169","Tommy Lee Jones","1946",NULL
"nm0000172","Harvey Keitel","1939",NULL
"nm0000173","Nicole Kidman","1967",NULL
"nm0000174","Val Kilmer","1959",NULL
"nm0000175","Stephen King","1947",NULL
"nm0000178","Diane Lane","1965",NULL
"nm0000179","Jude Law","1972",NULL
"nm0000184","George Lucas","1944",NULL
"nm0000186","David Lynch","1946",NULL
"nm0000188","Steve Martin","1945",NULL
"nm0000190","Matthew McConaughey","1969",NULL
"nm0000191","Ewan McGregor","1971",NULL
"nm0000193","Demi Moore","1962",NULL
"nm0000194","Julianne Moore","1960",NULL
"nm0000195","Bill Murray","1950",NULL
"nm0000196","Mike Myers","1963",NULL
"nm0000197","Jack Nicholson","1937",NULL
"nm0000198","Gary Oldman","1958",NULL
"nm0000199","Al Pacino","1940",NULL
"nm0000200","Bill Paxton","1955","2017"
"nm0000201","Michelle Pfeiffer","1958",NULL
"nm0000202","Ryan Phillippe","1974",NULL
"nm0000204","Natalie Portman","1981",NULL
"nm0000206","Keanu Reeves","1964",NULL
"nm0000207","Christina Ricci","1980",NULL
"nm0000209","Tim Robbins","1958",NULL
"nm0000210","Julia Roberts","1967",NULL
"nm0000213","Winona Ryder","1971",NULL
"nm0000215","Susan Sarandon","1946",NULL
"nm0000216","Arnold Schwarzenegger","1947",NULL
"nm0000217","Martin Scorsese","1942",NULL
"nm0000218","Kristin Scott Thomas","1960",NULL
"nm0000223","Elisabeth Shue","1963",NULL
"nm0000226","Will Smith","1968",NULL
"nm0000228","Kevin Spacey","1959",NULL
"nm0000229","Steven Spielberg","1946",NULL
"nm0000230","Sylvester Stallone","1946",NULL
