"nm0000002","tt0276919","Ma Ginger"
"nm0000032","tt0310793","Self"
"nm0000056","tt0317219","Doc Hudson"
"nm0000090","tt0765443","Semyon"
"nm0000093","tt0208092","Mickey O'Neil"
"nm0000093","tt0240772","Rusty Ryan"
"nm0000093","tt0266987","Tom Bishop"
"nm0000093","tt0332452","Achilles"
"nm0000093","tt0361748","Lt. Aldo Raine"
"nm0000093","tt0421715","Benjamin Button"
"nm0000093","tt0443680","Jesse James"
"nm0000093","tt0449467","Richard"
"nm0000093","tt0816711","Gerry Lane"
"nm0000093","tt0887883","Chad Feldheimer"
"nm0000093","tt1001526","Metro Man"
"nm0000093","tt1210166","Billy Beane"
"nm0000093","tt1596363","Ben Rickert"
"nm0000093","tt2024544","Bass"
"nm0000093","tt2713180","Don 'Wardaddy' Collier"
"nm0000093","tt3640424","Max Vatan"
"nm0000093","tt7131622","Cliff Booth"
"nm0000095","tt3345310","Self"
"nm0000096","tt0455590","Sarah Merrit"
"nm0000098","tt0822832","Jenny"
"nm0000098","tt1723121","Rose O'Reilly"
"nm0000099","tt1065073","Olivia"
"nm0000100","tt1347512","Self"
"nm0000100","tt5012394","Chief Inspector Jules Maigret"
"nm0000102","tt0327056","Sean Devine"
"nm0000102","tt0870111","Jack Brennan"
"nm0000102","tt1019454","LtCol Mike Strobl"
"nm0000102","tt1270798","Sebastian Shaw"
"nm0000104","tt1189073","Robert Ledgard"
"nm0000104","tt1839492","Mort"
"nm0000106","tt0270288","Penny"
"nm0000106","tt0758751","Little Edie"
"nm0000106","tt0780511","Rosie"
"nm0000107","tt0298203","Stephanie Smith"
"nm0000110","tt0266425","Reinhard Heydrich"
"nm0000110","tt0423510","Franklin Delano Roosevelt"
"nm0000110","tt0985699","Major-General Henning von Tresckow"
"nm0000111","tt6987652","Self"
"nm0000112","tt1139328","Adam Lang"
"nm0000113","tt0375679","Jean"
"nm0000113","tt0878804","Leigh Anne Tuohy"
"nm0000113","tt1454468","Ryan Stone"
"nm0000114","tt0162346","Seymour"
"nm0000114","tt0198781","Randall"
"nm0000114","tt0257850","Doc O'Connor"
"nm0000114","tt0312318","Self in TV Broadcast"
"nm0000114","tt1453405","Randy"
"nm0000114","tt4686844","Nikita Khrushchev"
"nm0000115","tt0268126","Charlie Kaufman"
"nm0000115","tt0268126","Donald Kaufman"
"nm0000115","tt0325805","Roy Waller"
"nm0000115","tt0399295","Yuri Orlov"
"nm0000115","tt0481499","Grug"
"nm0000115","tt1250777","Big Daddy"
"nm0000115","tt1250777","Damon Macready"
"nm0000117","tt0404364","Miss Poppy"
"nm0000119","tt0275847","Nani"
"nm0000120","tt0338013","Joel Barish"
"nm0000123","tt0190590","Everett"
"nm0000123","tt0240772","Danny Ocean"
"nm0000123","tt0270288","Jim Byrd"
"nm0000123","tt0432283","Mr. Fox"
"nm0000123","tt0433383","Fred Friendly"
"nm0000123","tt0465538","Michael Clayton"
"nm0000123","tt0887883","Harry Pfarrer"
"nm0000123","tt1033575","Matt King"
"nm0000123","tt1124035","Governor Mike Morris"
